,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,rating
The Perils of Certain English Prisoners,0.11867861449718475,23551.0,23.959308624267578,104.49542236328125,0.0651068165898323,0.022380467504262924,0.40081384778022766,0.5406023859977722,1.2993756532669067,0.46968361735343933,0.5039542317390442,77.06214141845703,7.368064880371094,0.007832221686840057,0.015795892104506493,0.007832221686840057,0.07549921423196793,5.205122215556912e-05,0.06441604346036911,0.19777320325374603,226.91098022460938,8.712907791137695,7.685430526733398,3.26
A Message from the Sea,0.15104539692401886,15353.0,23.297420501708984,102.46737670898438,0.048558421432971954,0.031866464763879776,0.6555386781692505,0.5716937184333801,1.3413889408111572,0.44710567593574524,0.48432859778404236,74.6799545288086,7.413443088531494,0.029743699356913567,0.0188607070595026,0.029743699356913567,0.0775383934378624,4.293238209385208e-09,0.07135140150785446,0.18889786303043365,305.65155029296875,8.627830505371094,7.5601115226745605,3.27
The Private Papers of Henry Ryecroft,0.11141861975193024,71182.0,25.43444061279297,120.49588775634766,0.05466238036751747,0.08824580162763596,0.12468738853931427,0.5110090374946594,1.4128446578979492,0.46696606278419495,0.5057309865951538,65.06718444824219,9.627429962158203,0.01772986352443695,0.01594746857881546,0.012312538921833038,0.0924474224448204,0.00027717542252503335,0.07019176334142685,0.17043335735797882,195.83685302734375,9.36731243133545,8.748542785644531,3.91
The History of Samuel Titmarsh,0.09026288986206055,60634.0,28.014780044555664,123.45219421386719,0.07667436450719833,0.04341801255941391,0.5367205739021301,0.48268625140190125,1.3276426792144775,0.45516088604927063,0.4974536597728729,71.77808380126953,8.813084602355957,0.014687844552099705,0.018850211054086685,-0.0005089896149002016,0.07649517059326172,6.186011160025373e-05,0.06111358851194382,0.1888243705034256,162.28785705566406,8.954041481018066,8.152689933776855,3.33
A Simpleton,0.06261371076107025,163239.0,17.806718826293945,76.25774383544922,0.05824607238173485,0.029123036190867424,0.4888743460178375,0.44783928990364075,1.3224128484725952,0.4438033998012543,0.48225364089012146,80.61026000976562,5.527731418609619,0.000745717843528837,0.02783864177763462,-0.007584905251860619,0.07666488736867905,0.000308632937958464,0.07228990644216537,0.20348283648490906,125.5753402709961,9.343196868896484,7.6567606925964355,3.95
A House to Let,0.10812710225582123,41257.0,23.051925659179688,101.73143768310547,0.04634282365441322,0.04690117388963699,0.4812953770160675,0.5187062621116638,1.3220171928405762,0.45959043502807617,0.4876985549926758,76.01167297363281,7.302868366241455,-0.00017671071691438556,0.021091140806674957,0.004743327386677265,0.07945410162210464,0.00020901435345876962,0.07067575305700302,0.19470928609371185,187.2608642578125,9.00053882598877,7.810473442077637,3.6
Stories By English Authors,0.12273057550191879,45441.0,22.961597442626953,105.11975860595703,0.037897929549217224,0.03183425962924957,0.49924203753471375,0.5392100811004639,1.400015950202942,0.47295787930488586,0.49511590600013733,69.12403869628906,8.33427619934082,0.018410699442029,0.021259156987071037,0.014695242047309875,0.08038326352834702,0.0005589472712017596,0.0702156126499176,0.19614049792289734,213.44679260253906,9.22736930847168,8.26014232635498,3.16
The Lady of Lyons; Or,0.13201555609703064,22361.0,10.438170433044434,43.8394775390625,0.23891741037368774,0.09286047518253326,0.1007932797074318,0.569088339805603,1.326350450515747,0.3952553868293762,0.457337886095047,86.57679748535156,3.153637409210205,0.00498062651604414,0.037045884877443314,-0.0028964877128601074,0.09021303802728653,0.00047078728675842285,0.06838120520114899,0.19007863104343414,241.94424438476562,8.971064567565918,8.184993743896484,4.0
Gaston de Latour; an unfinished romance,0.14837050437927246,45474.0,40.939693450927734,202.50494384765625,0.09090909361839294,0.04860486090183258,0.34383437037467957,0.5486981868743896,1.531644582748413,0.4222400188446045,0.4542941451072693,42.88764953613281,15.689697265625,0.021712791174650192,0.011585799045860767,0.021957404911518097,0.11132320016622543,0.0018872563960030675,0.06485921144485474,0.12828446924686432,299.75701904296875,9.436917304992676,9.929967880249023,3.8
Dynevor Terrace; Or,0.07553783804178238,139493.0,21.00330924987793,97.20276641845703,0.10303850471973419,0.02692539058625698,0.612364649772644,0.46149784326553345,1.3960518836975098,0.4473712742328644,0.47068291902542114,71.55889892578125,7.480795383453369,0.010192757472395897,0.027398720383644104,0.0010288837365806103,0.0839063748717308,0.00027567034703679383,0.06982095539569855,0.2124766856431961,131.1567840576172,9.415277481079102,8.23827838897705,5.0
Dynevor Terrace; Or,0.06889313459396362,142917.0,23.51849937438965,109.22068786621094,0.10179246962070465,0.024338101968169212,0.5767143368721008,0.440550833940506,1.388153314590454,0.4607556164264679,0.47644615173339844,69.78190612792969,8.327130317687988,0.007024008315056562,0.024816518649458885,0.014624829404056072,0.08226045221090317,0.00020422638044692576,0.07275540381669998,0.21033553779125214,124.70867919921875,9.318500518798828,8.211136817932129,5.0
Abbeychurch; Or,0.07354819774627686,88459.0,26.157007217407227,118.97693634033203,0.05056179687380791,0.025428740307688713,0.7705499529838562,0.4836164116859436,1.3918734788894653,0.4359428882598877,0.46877437829971313,68.31251525878906,8.814693450927734,0.005213608033955097,0.02006901241838932,-0.001367916469462216,0.08640988171100616,0.0003034448600374162,0.08510927855968475,0.23262737691402435,129.25633239746094,9.024723052978516,8.23881721496582,2.86
Eve's Ransom,0.0788230150938034,68140.0,15.307433128356934,66.02896881103516,0.02425331249833107,0.0406467542052269,0.5892656445503235,0.4932486116886139,1.3313734531402588,0.4763992130756378,0.5032254457473755,81.83389282226562,4.872024059295654,0.008559738285839558,0.02525220438838005,0.01640280708670616,0.06838112324476242,9.216130274580792e-05,0.07510846853256226,0.2192058563232422,142.4180908203125,8.97839641571045,7.5227532386779785,3.68
